date,ticker,close,fiscal_period,fiscal_year,revenue,net_income,totalLiabilities,totalEquity,share_capital,shares_outstanding,market_capitalization,p_e_ratio,sma_50,next_close
2024-09-30,AAPL,233.0,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3542563921000.0,240.40200332519,222.2656,226.21
2024-10-01,AAPL,226.21,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3439327830770.0,233.3962968763572,222.31060000000002,226.78
2024-10-02,AAPL,226.78,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3447994188860.0,233.9844047814875,222.34600000000003,225.67
2024-10-03,AAPL,225.67,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3431117596790.0,232.83914201886537,222.48860000000002,226.8
2024-10-04,AAPL,226.8,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3448298271600.0,234.0050401465798,222.6748,221.69
2024-10-07,AAPL,221.69,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3370605131530.0,228.73270436549944,222.74940000000004,225.77
2024-10-08,AAPL,225.77,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3432638010490.0,232.94231884432682,222.9,229.54
2024-10-09,AAPL,229.54,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3489957606980.0,236.83208516422366,223.1148,229.04
2024-10-10,AAPL,229.04,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3482355538480.0,236.3162010369164,223.25400000000002,227.55
2024-10-11,AAPL,227.55,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3459701374350.0,234.7788663375407,223.43779999999998,231.3
2024-10-14,AAPL,231.3,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3516716888100.0,238.64799729234528,223.66660000000005,233.85
2024-10-15,AAPL,233.85,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3555487437450.0,241.2790063416124,224.1582,231.78
2024-10-16,AAPL,231.78,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3524014873860.0,239.14324605456025,224.6492,232.15
2024-10-17,AAPL,232.15,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15204137000.0,3529640404550.0,239.52500030876763,225.09579999999997,235.0
